,text,author
0,"Letter 1  _To Mrs. Saville, England._   St. Petersburgh, Dec. 11th, 17—.",MWS
1,You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.,MWS
2,"I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.",MWS
3,"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.",MWS
4,Do you understand this feeling?,MWS
5,"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",MWS
6,"Inspirited by this wind of promise, my daydreams become more fervent and vivid.",MWS
7,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,MWS
8,"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",MWS
9,"There—for with your leave, my sister, I will put some trust in preceding navigators—there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.",MWS
10,"Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.",MWS
11,What may not be expected in a country of eternal light?,MWS
12,I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever.,MWS
13,"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.",MWS
14,"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",MWS
15,"But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine.",MWS
16,"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purpose—a point on which the soul may fix its intellectual eye.",MWS
17,This expedition has been the favourite dream of my early years.,MWS
18,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,MWS
19,You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas’ library.,MWS
20,"My education was neglected, yet I was passionately fond of reading.",MWS
21,"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father’s dying injunction had forbidden my uncle to allow me to embark in a seafaring life.",MWS
22,"These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven.",MWS
23,I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,MWS
24,You are well acquainted with my failure and how heavily I bore the disappointment.,MWS
25,"But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent.",MWS
26,Six years have passed since I resolved on my present undertaking.,MWS
27,"I can, even now, remember the hour from which I dedicated myself to this great enterprise.",MWS
28,I commenced by inuring my body to hardship.,MWS
29,"I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage.",MWS
30,"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.",MWS
31,"I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services.",MWS
32,"And now, dear Margaret, do I not deserve to accomplish some great purpose?",MWS
33,"My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path.",MWS
34,"Oh, that some encouraging voice would answer in the affirmative!",MWS
35,"My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed.",MWS
36,"I am about to proceed on a long and difficult voyage, the emergencies of which will demand all my fortitude: I am required not only to raise the spirits of others, but sometimes to sustain my own, when theirs are failing.",MWS
37,This is the most favourable period for travelling in Russia.,MWS
38,"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.",MWS
39,"The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.",MWS
40,I have no ambition to lose my life on the post-road between St. Petersburgh and Archangel.,MWS
41,"I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing.",MWS
42,I do not intend to sail until the month of June; and when shall I return?,MWS
43,"Ah, dear sister, how can I answer this question?",MWS
44,"If I succeed, many, many months, perhaps years, will pass before you and I may meet.",MWS
45,"If I fail, you will see me again soon, or never.",MWS
46,"Farewell, my dear, excellent Margaret.",MWS
47,"Heaven shower down blessings on you, and save me, that I may again and again testify my gratitude for all your love and kindness.",MWS
48,"Your affectionate brother,  R. Walton       Letter 2     _To Mrs. Saville, England._   Archangel, 28th March, 17—.",MWS
49,"How slowly the time passes here, encompassed as I am by frost and snow!",MWS
50,Yet a second step is taken towards my enterprise.,MWS
51,I have hired a vessel and am occupied in collecting my sailors; those whom I have already engaged appear to be men on whom I can depend and are certainly possessed of dauntless courage.,MWS
52,"But I have one want which I have never yet been able to satisfy, and the absence of the object of which I now feel as a most severe evil, I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection.",MWS
53,"I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of feeling.",MWS
54,"I desire the company of a man who could sympathise with me, whose eyes would reply to mine.",MWS
55,"You may deem me romantic, my dear sister, but I bitterly feel the want of a friend.",MWS
56,"I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans.",MWS
57,How would such a friend repair the faults of your poor brother!,MWS
58,I am too ardent in execution and too impatient of difficulties.,MWS
59,But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common and read nothing but our Uncle Thomas’ books of voyages.,MWS
60,At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction that I perceived the necessity of becoming acquainted with more languages than that of my native country.,MWS
61,Now I am twenty-eight and am in reality more illiterate than many schoolboys of fifteen.,MWS
62,"It is true that I have thought more and that my daydreams are more extended and magnificent, but they want (as the painters call it) _keeping;_ and I greatly need a friend who would have sense enough not to despise me as romantic, and affection enough for me to endeavour to regulate my mind.",MWS
63,"Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen.",MWS
64,"Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms.",MWS
65,"My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous of glory, or rather, to word my phrase more characteristically, of advancement in his profession.",MWS
66,"He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity.",MWS
67,"I first became acquainted with him on board a whale vessel; finding that he was unemployed in this city, I easily engaged him to assist in my enterprise.",MWS
68,The master is a person of an excellent disposition and is remarkable in the ship for his gentleness and the mildness of his discipline.,MWS
69,"This circumstance, added to his well-known integrity and dauntless courage, made me very desirous to engage him.",MWS
70,"A youth passed in solitude, my best years spent under your gentle and feminine fosterage, has so refined the groundwork of my character that I cannot overcome an intense distaste to the usual brutality exercised on board ship: I have never believed it to be necessary, and when I heard of a mariner equally noted for his kindliness of heart and the respect and obedience paid to him by his crew, I felt myself peculiarly fortunate in being able to secure his services.",MWS
71,"I heard of him first in rather a romantic manner, from a lady who owes to him the happiness of her life.",MWS
72,"This, briefly, is his story.",MWS
73,"Some years ago he loved a young Russian lady of moderate fortune, and having amassed a considerable sum in prize-money, the father of the girl consented to the match.",MWS
