text,author
"-- nervous -- very, very dreadfully nervous I had been and am; but why will you say that I am mad?",EAP
The disease had sharpened my senses -- not destroyed -- not dulled them.,EAP
Above all was the sense of hearing acute.,EAP
I heard all things in the heaven and in the earth.,EAP
I heard many things in hell.,EAP
"How, then, am I mad?",EAP
and observe how healthily -- how calmly I can tell you the whole story.,EAP
"It is impossible to say how first the idea entered my brain; but once conceived, it haunted me day and night.",EAP
Object there was none.,EAP
Passion there was none.,EAP
I loved the old man.,EAP
He had never wronged me.,EAP
He had never given me insult.,EAP
For his gold I had no desire.,EAP
I think it was his eye!,EAP
"yes, it was this!",EAP
"He had the eye of a vulture --a pale blue eye, with a film over it.",EAP
"Whenever it fell upon me, my blood ran cold; and so by degrees -- very gradually --I made up my mind to take the life of the old man, and thus rid myself of the eye forever.",EAP
Now this is the point.,EAP
You fancy me mad.,EAP
But you should have seen me.,EAP
You should have seen how wisely I proceeded --with what caution --with what foresight --with what dissimulation I went to work!,EAP
I was never kinder to the old man than during the whole week before I killed him.,EAP
"And every night, about midnight, I turned the latch of his door and opened it --oh so gently!",EAP
"And then, when I had made an opening sufficient for my head, I put in a dark lantern, all closed, closed, so that no light shone out, and then I thrust in my head.",EAP
"Oh, you would have laughed to see how cunningly I thrust it in!",EAP
"I moved it slowly --very, very slowly, so that I might not disturb the old man's sleep.",EAP
It took me an hour to place my whole head within the opening so far that I could see him as he lay upon his bed.,EAP
--would a madman have been so wise as this?,EAP
"And then, when my head was well in the room, I undid the lantern cautiously --oh, so cautiously --cautiously (for the hinges creaked) --I undid it just so much that a single thin ray fell upon the vulture eye.",EAP
"And this I did for seven long nights --every night just at midnight --but I found the eye always closed; and so it was impossible to do the work; for it was not the old man who vexed me, but his Evil Eye.",EAP
"And every morning, when the day broke, I went boldly into the chamber, and spoke courageously to him, calling him by name in a hearty tone, and inquiring how he has passed the night.",EAP
"So you see he would have been a very profound old man, indeed, to suspect that every night, just at twelve, I looked in upon him while he slept.",EAP
Upon the eighth night I was more than usually cautious in opening the door.,EAP
A watch's minute hand moves more quickly than did mine.,EAP
Never before that night had I felt the extent of my own powers --of my sagacity.,EAP
I could scarcely contain my feelings of triumph.,EAP
"To think that there I was, opening the door, little by little, and he not even to dream of my secret deeds or thoughts.",EAP
"I fairly chuckled at the idea; and perhaps he heard me; for he moved on the bed suddenly, as if startled.",EAP
Now you may think that I drew back --but no.,EAP
"His room was as black as pitch with the thick darkness, (for the shutters were close fastened, through fear of robbers,) and so I knew that he could not see the opening of the door, and I kept pushing it on steadily, steadily.",EAP
"I had my head in, and was about to open the lantern, when my thumb slipped upon the tin fastening, and the old man sprang up in bed, crying out --""Who's there?""",EAP
I kept quite still and said nothing.,EAP
"For a whole hour I did not move a muscle, and in the meantime I did not hear him lie down.",EAP
"He was still sitting up in the bed listening; --just as I have done, night after night, hearkening to the death watches in the wall.",EAP
"Presently I heard a slight groan, and I knew it was the groan of mortal terror.",EAP
"It was not a groan of pain or of grief --oh, no!",EAP
--it was the low stifled sound that arises from the bottom of the soul when overcharged with awe.,EAP
I knew the sound well.,EAP
"Many a night, just at midnight, when all the world slept, it has welled up from my own bosom, deepening, with its dreadful echo, the terrors that distracted me.",EAP
I say I knew it well.,EAP
"I knew what the old man felt, and pitied him, although I chuckled at heart.",EAP
"I knew that he had been lying awake ever since the first slight noise, when he had turned in the bed.",EAP
His fears had been ever since growing upon him.,EAP
"He had been trying to fancy them causeless, but could not.",EAP
"He had been saying to himself --""It is nothing but the wind in the chimney --it is only a mouse crossing the floor,"" or ""It is merely a cricket which has made a single chirp.""",EAP
"Yes, he had been trying to comfort himself with these suppositions: but he had found all in vain.",EAP
"All in vain; because Death, in approaching him had stalked with his black shadow before him, and enveloped the victim.",EAP
And it was the mournful influence of the unperceived shadow that caused him to feel --although he neither saw nor heard --to feel the presence of my head within the room.,EAP
"When I had waited a long time, very patiently, without hearing him lie down, I resolved to open a little --a very, very little crevice in the lantern.",EAP
"So I opened it --you cannot imagine how stealthily, stealthily --until, at length a single dim ray, like the thread of the spider, shot from out the crevice and fell full upon the vulture eye.",EAP
"It was open --wide, wide open --and I grew furious as I gazed upon it.",EAP
"I saw it with perfect distinctness --all a dull blue, with a hideous veil over it that chilled the very marrow in my bones; but I could see nothing else of the old man's face or person: for I had directed the ray as if by instinct, precisely upon the damned spot.",EAP
And have I not told you that what you mistake for madness is but over acuteness of the senses?,EAP
"--now, I say, there came to my ears a low, dull, quick sound, such as a watch makes when enveloped in cotton.",EAP
"I knew that sound well, too.",EAP
It was the beating of the old man's heart.,EAP
"It increased my fury, as the beating of a drum stimulates the soldier into courage.",EAP
But even yet I refrained and kept still.,EAP
I held the lantern motionless.,EAP
I tried how steadily I could maintain the ray upon the eye.,EAP
Meantime the hellish tattoo of the heart increased.,EAP
"It grew quicker and quicker, and louder and louder every instant.",EAP
The old man's terror must have been extreme!,EAP
"It grew louder, I say, louder every moment!",EAP
--do you mark me well?,EAP
I have told you that I am nervous: so I am.,EAP
"And now at the dead hour of the night, amid the dreadful silence of that old house, so strange a noise as this excited me to uncontrollable terror.",EAP
"Yet, for some minutes longer I refrained and stood still.",EAP
"But the beating grew louder, louder!",EAP
I thought the heart must burst.,EAP
And now a new anxiety seized me --the sound would be heard by a neighbor!,EAP
The old man's hour had come!,EAP
"With a loud yell, I threw open the lantern and leaped into the room.",EAP
He shrieked once --once only.,EAP
"In an instant I dragged him to the floor, and pulled the heavy bed over him.",EAP
"I then smiled gaily, to find the deed so far done.",EAP
"But, for many minutes, the heart beat on with a muffled sound.",EAP
"This, however, did not vex me; it would not be heard through the wall.",EAP
At length it ceased.,EAP
The old man was dead.,EAP
I removed the bed and examined the corpse.,EAP
"Yes, he was stone, stone dead.",EAP
I placed my hand upon the heart and held it there many minutes.,EAP
There was no pulsation.,EAP
He was stone dead.,EAP
His eye would trouble me no more.,EAP
"If still you think me mad, you will think so no longer when I describe the wise precautions I took for the concealment of the body.",EAP
"The night waned, and I worked hastily, but in silence.",EAP
First of all I dismembered the corpse.,EAP
I cut off the head and the arms and the legs.,EAP
"I then took up three planks from the flooring of the chamber, and deposited all between the scantlings.",EAP
"I then replaced the boards so cleverly, so cunningly, that no human eye -- not even his --could have detected any thing wrong.",EAP
There was nothing to wash out --no stain of any kind --no blood-spot whatever.,EAP
I had been too wary for that.,EAP
A tub had caught all --ha!,EAP
"When I had made an end of these labors, it was four o'clock --still dark as midnight.",EAP
"As the bell sounded the hour, there came a knocking at the street door.",EAP
"I went down to open it with a light heart, --for what had I now to fear?",EAP
"There entered three men, who introduced themselves, with perfect suavity, as officers of the police.",EAP
"A shriek had been heard by a neighbor during the night; suspicion of foul play had been aroused; information had been lodged at the police office, and they (the officers) had been deputed to search the premises.",EAP
"I smiled, --for what had I to fear?",EAP
I bade the gentlemen welcome.,EAP
"The shriek, I said, was my own in a dream.",EAP
"The old man, I mentioned, was absent in the country.",EAP
I took my visitors all over the house.,EAP
I bade them search --search well.,EAP
"I led them, at length, to his chamber.",EAP
"I showed them his treasures, secure, undisturbed.",EAP
"In the enthusiasm of my confidence, I brought chairs into the room, and desired them here to rest from their fatigues, while I myself, in the wild audacity of my perfect triumph, placed my own seat upon the very spot beneath which reposed the corpse of the victim.",EAP
The officers were satisfied.,EAP
My manner had convinced them.,EAP
I was singularly at ease.,EAP
"They sat, and while I answered cheerily, they chatted of familiar things.",EAP
"But, ere long, I felt myself getting pale and wished them gone.",EAP
"My head ached, and I fancied a ringing in my ears: but still they sat and still chatted.",EAP
"The ringing became more distinct: --it continued and became more distinct: I talked more freely to get rid of the feeling: but it continued and gained definiteness --until, at length, I found that the noise was not within my ears.",EAP
"No doubt I now grew very pale; --but I talked more fluently, and with a heightened voice.",EAP
Yet the sound increased --and what could I do?,EAP
"It was a low, dull, quick sound --much such a sound as a watch makes when enveloped in cotton.",EAP
I gasped for breath -- and yet the officers heard it not.,EAP
I talked more quickly --more vehemently; but the noise steadily increased.,EAP
"I arose and argued about trifles, in a high key and with violent gesticulations; but the noise steadily increased.",EAP
Why would they not be gone?,EAP
"I paced the floor to and fro with heavy strides, as if excited to fury by the observations of the men -- but the noise steadily increased.",EAP
what could I do?,EAP
I foamed --I raved --I swore!,EAP
"I swung the chair upon which I had been sitting, and grated it upon the boards, but the noise arose over all and continually increased.",EAP
It grew louder --louder --louder!,EAP
"And still the men chatted pleasantly, and smiled.",EAP
Was it possible they heard not?,EAP
--they were making a mockery of my horror!,EAP
"--this I thought, and this I think.",EAP
But anything was better than this agony!,EAP
Anything was more tolerable than this derision!,EAP
I could bear those hypocritical smiles no longer!,EAP
I felt that I must scream or die!,EAP
"I shrieked, ""dissemble no more!",EAP
I admit the deed!,EAP
--tear up the planks!,EAP
"--it is the beating of his hideous heart!""",EAP
"THERE are certain themes of which the interest is all-absorbing, but which are too entirely horrible for the purposes of legitimate fiction.",EAP
"These the mere romanticist must eschew, if he do not wish to offend or to disgust.",EAP
