id,text,author
id02310,"Still, as I urged our leaving Ireland with such inquietude and impatience, my father thought it best to yield.",MWS
id00134,"And when they had broken down the frail door they found only this: two cleanly picked human skeletons on the earthen floor, and a number of singular beetles crawling in the shadowy corners.",HPL
id04081,I am not sure to what limit his knowledge may extend.,EAP
id25917,"I sought for repose although I did not hope for forgetfulness; I knew I should be pursued by dreams, but did not dread the frightful one that I really had.",MWS
id04951,"Upon the fourth day of the assassination, a party of the police came, very unexpectedly, into the house, and proceeded again to make rigorous investigation of the premises.",EAP
id15181,"When I arose trembling, I know not how much later, I staggered into the house and made shocking obeisances before the enshrined amulet of green jade.",HPL
id21888,And by the shores of the river Zaire there is neither quiet nor silence.,EAP
id12035,Idris heard of her mother's return with pleasure.,MWS
id00345,"At his nod I took one of the latter and seated myself upon an aged, discoloured gravestone close by the newly uncovered aperture.",HPL
id09248,"Festivity, and even libertinism, became the order of the day.",MWS
id06995,"""Gaze not on the star, dear, generous friend,"" I cried, ""read not love in its trembling rays; look not upon distant worlds; speak not of the mere imagination of a sentiment.",MWS
id25729,"The thing will haunt me, for who can say the extermination is complete, and that analogous phenomena do not exist all over the world?",HPL
id27191,"If she had been bred in that sphere of life to which by inheritance the delicate framework of her mind and person was adapted, she would have been the object almost of adoration, for her virtues were as eminent as her defects.",MWS
id07668,"Or, if this mode of speech offend you, let me say, that my mother, the proud queen, instilled early into me a love of distinction, and all that, if the weakness of my physical nature and my peculiar opinions had not prevented such a design, might have made me long since struggle for the lost inheritance of my race.",MWS
id02230,I have promised that someone should watch for him and give him instant notice if any new object should appear in sight.,MWS
id25688,In his frenzied strains I could almost see shadowy satyrs and Bacchanals dancing and whirling insanely through seething abysses of clouds and smoke and lightning.,HPL
id13929,Did he think of this as we journeyed up to town?,MWS
id12880,"All other art objects I had ever seen either belonged to some known racial or national stream, or else were consciously modernistic defiances of every recognised stream.",HPL
id14690,"I am miserable, and they shall share my wretchedness.",MWS
id17975,"I have frequently wondered if the majority of mankind ever pause to reflect upon the occasionally titanic significance of dreams, and of the obscure world to which they belong.",HPL
id15412,Doubtless you will play the part of the injured wife to admiration.,MWS
id27165,"For the purpose of relieving M. Valdemar from the mesmeric trance, I made use of the customary passes.",EAP
id21003,The energies of man were before directed to the destruction of his species: they now aim at its liberation and preservation.,MWS
id23855,"Pickman had promised to shew me the place, and heaven knows he had done it.",HPL
id20775,"The matter of which our rudimental body is composed, is within the ken of the organs of that body; or, more distinctly, our rudimental organs are adapted to the matter of which is formed the rudimental body; but not to that of which the ultimate is composed.",EAP
id13029,"Monsieur Maillard, it appeared, in giving me the account of the lunatic who had excited his fellows to rebellion, had been merely relating his own exploits.",EAP
id14660,The ordinary accounts of this vortex had by no means prepared me for what I saw.,EAP
id11028,Justine has just returned to us; and I assure you I love her tenderly.,MWS
id25860,"In a few minutes we soared over them in fine style; and Mr. Ainsworth, with the seamen, was surprised at their apparent want of altitude when viewed from the car, the tendency of great elevation in a balloon being to reduce inequalities of the surface below, to nearly a dead level.",EAP
id11910,Restrain your impatience or you may mar what you attempt to alleviate.,MWS
id08065,"Should she indeed awake, and see me, and curse me, and denounce the murderer?",MWS
id25018,"He is dead who called me into being; and when I shall be no more, the very remembrance of us both will speedily vanish.",MWS
id10892,"Olney walked out along the lesser cliffs to where the great crag leaped insolently up to consort with celestial things, and became very sure that no human feet could mount it or descend it on that beetling southern slope.",HPL
id10217,"Much of the material which I correlated will be later published by the American Archaeological Society, but there was one box which I found exceedingly puzzling, and which I felt much averse from shewing to other eyes.",HPL
id12996,In this she did not succeed.,MWS
id08606,"At some time during this shocking period the cold wind and the screaming must have roused me, for my next impression is of racing madly through inky rooms and corridors and out across the courtyard into the hideous night.",HPL
